Designator,Mid X,Mid Y,Rotation,Layer
_4,189.54,-158.71,0.0,top
_3,18.43,-18.54,0.0,top
_2,18.41,-158.71,0.0,top
,189.55,-18.53,0.0,top
H1,189.54,-158.71,0.0,top
H2,189.55,-18.53,0.0,top
H3,18.41,-158.71,0.0,top
H4,18.43,-18.54,0.0,top
